2021/08/19 01:49:52 [INFO] CurrentEpoch: 0, FinalEpochs: 100, NumberOfFoodSources: 100, NumberOfGoods: 5, NumberOfBads: 1, Level: easy
2021/08/19 01:49:52 [INFO] CurrentEpoch: 1, FinalEpochs: 100, NumberOfFoodSources: 100, NumberOfGoods: 8, NumberOfBads: 2, Level: easy
2021/08/19 01:49:52 [INFO] CurrentEpoch: 2, FinalEpochs: 100, NumberOfFoodSources: 100, NumberOfGoods: 14, NumberOfBads: 3, Level: easy
2021/08/19 01:49:52 [INFO] CurrentEpoch: 3, FinalEpochs: 100, NumberOfFoodSources: 100, NumberOfGoods: 23, NumberOfBads: 5, Level: easy
2021/08/19 01:49:52 [INFO] CurrentEpoch: 4, FinalEpochs: 100, NumberOfFoodSources: 100, NumberOfGoods: 37, NumberOfBads: 11, Level: easy
2021/08/19 01:49:52 [INFO] CurrentEpoch: 5, FinalEpochs: 100, NumberOfFoodSources: 100, NumberOfGoods: 62, NumberOfBads: 22, Level: easy
2021/08/19 01:49:52 [INFO] CurrentEpoch: 6, FinalEpochs: 100, NumberOfFoodSources: 100, NumberOfGoods: 83, NumberOfBads: 32, Level: easy
2021/08/19 01:49:52 [INFO] CurrentEpoch: 7, FinalEpochs: 100, NumberOfFoodSources: 100, NumberOfGoods: 96, NumberOfBads: 53, Level: easy
2021/08/19 01:49:52 [INFO] CurrentEpoch: 8, FinalEpochs: 100, NumberOfFoodSources: 100, NumberOfGoods: 107, NumberOfBads: 75, Level: easy
2021/08/19 01:49:52 [INFO] CurrentEpoch: 9, FinalEpochs: 100, NumberOfFoodSources: 100, NumberOfGoods: 102, NumberOfBads: 93, Level: easy
2021/08/19 01:49:52 [INFO] CurrentEpoch: 10, FinalEpochs: 100, NumberOfFoodSources: 100, NumberOfGoods: 94, NumberOfBads: 114, Level: easy
2021/08/19 01:49:52 [INFO] CurrentEpoch: 11, FinalEpochs: 100, NumberOfFoodSources: 100, NumberOfGoods: 87, NumberOfBads: 127, Level: easy
2021/08/19 01:49:52 [INFO] CurrentEpoch: 12, FinalEpochs: 100, NumberOfFoodSources: 100, NumberOfGoods: 65, NumberOfBads: 130, Level: easy
2021/08/19 01:49:52 [INFO] CurrentEpoch: 13, FinalEpochs: 100, NumberOfFoodSources: 100, NumberOfGoods: 49, NumberOfBads: 124, Level: easy
2021/08/19 01:49:52 [INFO] CurrentEpoch: 14, FinalEpochs: 100, NumberOfFoodSources: 100, NumberOfGoods: 53, NumberOfBads: 122, Level: easy
2021/08/19 01:49:52 [INFO] CurrentEpoch: 15, FinalEpochs: 100, NumberOfFoodSources: 100, NumberOfGoods: 49, NumberOfBads: 138, Level: easy
2021/08/19 01:49:52 [INFO] CurrentEpoch: 16, FinalEpochs: 100, NumberOfFoodSources: 100, NumberOfGoods: 43, NumberOfBads: 147, Level: easy
2021/08/19 01:49:52 [INFO] CurrentEpoch: 17, FinalEpochs: 100, NumberOfFoodSources: 100, NumberOfGoods: 33, NumberOfBads: 146, Level: easy
2021/08/19 01:49:52 [INFO] CurrentEpoch: 18, FinalEpochs: 100, NumberOfFoodSources: 100, NumberOfGoods: 35, NumberOfBads: 140, Level: easy
2021/08/19 01:49:52 [INFO] CurrentEpoch: 19, FinalEpochs: 100, NumberOfFoodSources: 100, NumberOfGoods: 37, NumberOfBads: 137, Level: easy
